algorithm,num_layers,hidden_size,train_size,seed,epoch,train_loss,test_acc,wall_time_s
BP,2,256,1000,0,10,0.021864,0.892,3.04
BP,2,256,1000,0,11,0.015737,0.8943,3.35
BP,2,256,1000,0,12,0.012563,0.8931,3.65
BP,2,256,1000,0,13,0.010128,0.8952,3.96
BP,2,256,1000,0,14,0.008733,0.8955,4.26
BP,2,256,1000,0,15,0.007354,0.8938,4.56
BP,2,256,1000,0,16,0.006524,0.8937,4.87
BP,2,256,1000,0,17,0.005778,0.8947,5.17
BP,2,256,1000,0,18,0.005003,0.8943,5.48
BP,2,256,1000,0,19,0.004578,0.8953,5.78
BP,2,256,1000,0,20,0.004135,0.8954,6.09
BP,2,256,1000,0,21,0.003734,0.8947,6.39
BP,2,256,1000,0,22,0.003407,0.8942,6.7
BP,2,256,1000,0,23,0.003076,0.8949,7.0
BP,2,256,1000,0,24,0.002841,0.8955,7.31
BP,2,256,1000,0,25,0.002598,0.8951,7.61
BP,2,256,1000,0,26,0.002419,0.895,7.92
BP,2,256,1000,0,27,0.002213,0.8944,8.22
BP,2,256,1000,0,28,0.0021,0.8948,8.52
BP,2,256,1000,0,29,0.001944,0.8942,8.83
BP,2,256,1000,0,30,0.001826,0.895,9.13
BP,2,256,1000,1,1,1.329731,0.8321,0.31
BP,2,256,1000,1,2,0.537688,0.8764,0.61
BP,2,256,1000,1,3,0.350426,0.8797,0.92
BP,2,256,1000,1,4,0.24918,0.8865,1.22
BP,2,256,1000,1,5,0.153383,0.8945,1.52
BP,2,256,1000,1,6,0.107214,0.8987,1.83
BP,2,256,1000,1,7,0.068921,0.894,2.13
BP,2,256,1000,1,8,0.045878,0.899,2.44
BP,2,256,1000,1,9,0.030623,0.9016,2.74
BP,2,256,1000,1,10,0.023059,0.9005,3.05
BP,2,256,1000,1,11,0.016524,0.9024,3.35
BP,2,256,1000,1,12,0.012115,0.9017,3.66
BP,2,256,1000,1,13,0.010154,0.9028,3.97
BP,2,256,1000,1,14,0.008701,0.9036,4.28
BP,2,256,1000,1,15,0.007295,0.9026,4.58
BP,2,256,1000,1,16,0.006352,0.9036,4.89
BP,2,256,1000,1,17,0.005594,0.9027,5.19
BP,2,256,1000,1,18,0.005047,0.9023,5.5
BP,2,256,1000,1,19,0.0045,0.9041,5.8
BP,2,256,1000,1,20,0.004068,0.9033,6.11
BP,2,256,1000,1,21,0.003761,0.9036,6.41
BP,2,256,1000,1,22,0.003359,0.9038,6.72
BP,2,256,1000,1,23,0.003093,0.9027,7.02
BP,2,256,1000,1,24,0.002876,0.9028,7.33
BP,2,256,1000,1,25,0.002613,0.9039,7.63
BP,2,256,1000,1,26,0.00241,0.9038,7.94
BP,2,256,1000,1,27,0.002262,0.9032,8.26
BP,2,256,1000,1,28,0.002116,0.9044,8.57
BP,2,256,1000,1,29,0.001979,0.9036,8.87
BP,2,256,1000,1,30,0.001861,0.9029,9.19
BP,2,256,1000,2,1,1.298591,0.8026,0.31
BP,2,256,1000,2,2,0.497007,0.8799,0.61
BP,2,256,1000,2,3,0.293562,0.8839,0.92
BP,2,256,1000,2,4,0.204806,0.8867,1.22
BP,2,256,1000,2,5,0.137016,0.879,1.53
BP,2,256,1000,2,6,0.108879,0.8831,1.83
BP,2,256,1000,2,7,0.078924,0.8802,2.14
BP,2,256,1000,2,8,0.048273,0.8832,2.44
BP,2,256,1000,2,9,0.02944,0.8888,2.74
BP,2,256,1000,2,10,0.020736,0.8913,3.05
BP,2,256,1000,2,11,0.014308,0.8923,3.35
BP,2,256,1000,2,12,0.010978,0.8925,3.65
BP,2,256,1000,2,13,0.009113,0.8936,3.96
BP,2,256,1000,2,14,0.007956,0.8922,4.27
BP,2,256,1000,2,15,0.006789,0.8946,4.57
BP,2,256,1000,2,16,0.005986,0.8937,4.88
BP,2,256,1000,2,17,0.005247,0.8946,5.18
BP,2,256,1000,2,18,0.004665,0.8939,5.49
BP,2,256,1000,2,19,0.004109,0.8949,5.79
BP,2,256,1000,2,20,0.003665,0.8948,6.1
BP,2,256,1000,2,21,0.003369,0.8951,6.4
BP,2,256,1000,2,22,0.0031,0.8952,6.71
BP,2,256,1000,2,23,0.002864,0.8951,7.01
BP,2,256,1000,2,24,0.00261,0.8945,7.32
BP,2,256,1000,2,25,0.002427,0.8945,7.62
BP,2,256,1000,2,26,0.002263,0.8954,7.93
BP,2,256,1000,2,27,0.002124,0.8956,8.23
BP,2,256,1000,2,28,0.001992,0.8952,8.54
BP,2,256,1000,2,29,0.001835,0.8951,8.85
BP,2,256,1000,2,30,0.001711,0.8958,9.15
BP,2,256,5000,0,1,0.625298,0.8925,0.46
BP,2,256,5000,0,2,0.269732,0.9174,0.91
BP,2,256,5000,0,3,0.171463,0.9254,1.37
BP,2,256,5000,0,4,0.116448,0.9305,1.82
BP,2,256,5000,0,5,0.089051,0.93,2.27
BP,2,256,5000,0,6,0.053649,0.9311,2.72
BP,2,256,5000,0,7,0.037676,0.9365,3.18
BP,2,256,5000,0,8,0.026062,0.9407,3.63
BP,2,256,5000,0,9,0.012591,0.944,4.08
BP,2,256,5000,0,10,0.005321,0.9441,4.53
BP,2,256,5000,0,11,0.003717,0.9452,4.98
BP,2,256,5000,0,12,0.002706,0.9443,5.43
BP,2,256,5000,0,13,0.00212,0.9443,5.89
BP,2,256,5000,0,14,0.001797,0.9446,6.34
BP,2,256,5000,0,15,0.00153,0.9459,6.79
BP,2,256,5000,0,16,0.001324,0.9456,7.24
BP,2,256,5000,0,17,0.001141,0.9451,7.69
BP,2,256,5000,0,18,0.001018,0.946,8.15
BP,2,256,5000,0,19,0.00089,0.9468,8.6
BP,2,256,5000,0,20,0.000801,0.9461,9.05
BP,2,256,5000,0,21,0.000727,0.9464,9.5
BP,2,256,5000,0,22,0.000649,0.9464,9.95
BP,2,256,5000,0,23,0.00059,0.9467,10.41
BP,2,256,5000,0,24,0.000538,0.9462,10.86
BP,2,256,5000,0,25,0.000491,0.9454,11.31
BP,2,256,5000,0,26,0.000446,0.9461,11.77
BP,2,256,5000,0,27,0.000417,0.9457,12.22
BP,2,256,5000,0,28,0.000383,0.9458,12.67
BP,2,256,5000,0,29,0.000354,0.946,13.13
BP,2,256,5000,0,30,0.00033,0.946,13.58
BP,2,256,5000,1,1,0.599595,0.9069,0.45
BP,2,256,5000,1,2,0.259572,0.9199,0.91
BP,2,256,5000,1,3,0.180656,0.916,1.36
BP,2,256,5000,1,4,0.138291,0.9326,1.81
BP,2,256,5000,1,5,0.084484,0.935,2.26
BP,2,256,5000,1,6,0.052802,0.9334,2.71
BP,2,256,5000,1,7,0.03258,0.9382,3.16
BP,2,256,5000,1,8,0.016683,0.9403,3.61
BP,2,256,5000,1,9,0.010066,0.9429,4.06
BP,2,256,5000,1,10,0.006058,0.9453,4.52
BP,2,256,5000,1,11,0.004185,0.9435,4.99
BP,2,256,5000,1,12,0.004334,0.9459,5.48
BP,2,256,5000,1,13,0.002402,0.9462,5.96
BP,2,256,5000,1,14,0.001806,0.946,6.45
BP,2,256,5000,1,15,0.001529,0.9461,6.93
BP,2,256,5000,1,16,0.001334,0.9473,7.38
BP,2,256,5000,1,17,0.00115,0.9464,7.86
BP,2,256,5000,1,18,0.001017,0.9468,8.34
BP,2,256,5000,1,19,0.0009,0.9469,8.8
BP,2,256,5000,1,20,0.000817,0.9473,9.25
BP,2,256,5000,1,21,0.000726,0.947,9.71
BP,2,256,5000,1,22,0.000674,0.947,10.17
BP,2,256,5000,1,23,0.000614,0.9473,10.62
BP,2,256,5000,1,24,0.000539,0.9471,11.07
BP,2,256,5000,1,25,0.000507,0.9469,11.52
BP,2,256,5000,1,26,0.000477,0.9475,11.99
BP,2,256,5000,1,27,0.000416,0.9475,12.44
BP,2,256,5000,1,28,0.000378,0.9477,12.9
BP,2,256,5000,1,29,0.00035,0.9474,13.35
BP,2,256,5000,1,30,0.000327,0.9473,13.8
BP,2,256,5000,2,1,0.632226,0.898,0.46
BP,2,256,5000,2,2,0.270547,0.9179,0.92
BP,2,256,5000,2,3,0.192461,0.9239,1.38
BP,2,256,5000,2,4,0.139709,0.9287,1.84
BP,2,256,5000,2,5,0.089057,0.9311,2.3
BP,2,256,5000,2,6,0.060591,0.9362,2.76
BP,2,256,5000,2,7,0.030011,0.9389,3.22
BP,2,256,5000,2,8,0.017683,0.944,3.68
BP,2,256,5000,2,9,0.009662,0.9444,4.14
BP,2,256,5000,2,10,0.007079,0.9453,4.6
BP,2,256,5000,2,11,0.004807,0.9455,5.06
BP,2,256,5000,2,12,0.003093,0.9473,5.52
BP,2,256,5000,2,13,0.002252,0.9474,5.98
