algorithm,num_layers,hidden_size,train_size,seed,inference_steps,epoch,train_energy,test_acc,wall_time_s
PC,2,256,500,0,10,10,153.185971,0.772,8.65
PC,2,256,500,0,10,11,151.995173,0.772,9.34
PC,2,256,500,0,10,12,151.004463,0.772,10.02
PC,2,256,500,0,10,13,150.109756,0.772,10.7
PC,2,256,500,0,10,14,149.361066,0.772,11.38
PC,2,256,500,0,10,15,148.685295,0.682,12.99
PC,2,256,500,0,10,16,148.08674,0.682,13.67
PC,2,256,500,0,10,17,147.630198,0.682,14.35
PC,2,256,500,0,10,18,147.186391,0.682,15.03
PC,2,256,500,0,10,19,146.778491,0.682,15.71
PC,2,256,500,0,10,20,146.337943,0.67,17.32
PC,2,256,500,0,10,21,146.031687,0.67,18.0
PC,2,256,500,0,10,22,145.700291,0.67,18.68
PC,2,256,500,0,10,23,145.585872,0.67,19.36
PC,2,256,500,0,10,24,145.30844,0.67,20.04
PC,2,256,500,0,10,25,145.072953,0.7,21.64
PC,2,256,500,0,10,26,144.799264,0.7,22.32
PC,2,256,500,0,10,27,144.607775,0.7,23.01
PC,2,256,500,0,10,28,144.461128,0.7,23.69
PC,2,256,500,0,10,29,144.349104,0.7,24.37
PC,2,256,500,0,10,30,144.185416,0.692,25.98
PC,2,256,500,0,20,1,208.997981,,1.09
PC,2,256,500,0,20,2,174.126707,,2.17
PC,2,256,500,0,20,3,163.33722,,3.26
PC,2,256,500,0,20,4,157.129413,,4.35
PC,2,256,500,0,20,5,152.98142,0.758,7.29
PC,2,256,500,0,20,6,149.952716,0.758,8.4
PC,2,256,500,0,20,7,147.65599,0.758,9.5
PC,2,256,500,0,20,8,145.750479,0.758,10.59
PC,2,256,500,0,20,9,144.211885,0.758,11.73
PC,2,256,500,0,20,10,142.961213,0.781,14.65
PC,2,256,500,0,20,11,141.888319,0.781,15.76
PC,2,256,500,0,20,12,141.072159,0.781,16.86
PC,2,256,500,0,20,13,140.290269,0.781,17.95
PC,2,256,500,0,20,14,139.75823,0.781,19.05
PC,2,256,500,0,20,15,139.19089,0.779,21.96
PC,2,256,500,0,20,16,138.882411,0.779,23.05
PC,2,256,500,0,20,17,138.448572,0.779,24.13
PC,2,256,500,0,20,18,138.224048,0.779,25.22
PC,2,256,500,0,20,19,137.914487,0.779,26.31
PC,2,256,500,0,20,20,137.755361,0.775,29.22
PC,2,256,500,0,20,21,137.55774,0.775,30.31
PC,2,256,500,0,20,22,137.172687,0.775,31.4
PC,2,256,500,0,20,23,137.245804,0.775,32.48
PC,2,256,500,0,20,24,137.136413,0.775,33.57
PC,2,256,500,0,20,25,136.991947,0.761,36.47
PC,2,256,500,0,20,26,136.877784,0.761,37.55
PC,2,256,500,0,20,27,136.850622,0.761,38.64
PC,2,256,500,0,20,28,136.624026,0.761,39.72
PC,2,256,500,0,20,29,136.608822,0.761,40.81
PC,2,256,500,0,20,30,136.476174,0.758,43.73
PC,2,256,500,0,50,1,205.512635,,2.31
PC,2,256,500,0,50,2,168.865763,,4.65
PC,2,256,500,0,50,3,157.887166,,7.01
PC,2,256,500,0,50,4,151.544961,,9.33
PC,2,256,500,0,50,5,147.298024,0.795,16.14
PC,2,256,500,0,50,6,144.184448,0.795,18.5
PC,2,256,500,0,50,7,141.789269,0.795,20.79
PC,2,256,500,0,50,8,140.032974,0.795,23.09
PC,2,256,500,0,50,9,138.867488,0.795,25.38
PC,2,256,500,0,50,10,137.842269,0.765,32.11
PC,2,256,500,0,50,11,136.76656,0.765,34.41
PC,2,256,500,0,50,12,135.85585,0.765,36.7
PC,2,256,500,0,50,13,135.28412,0.765,39.0
PC,2,256,500,0,50,14,134.589955,0.765,41.29
PC,2,256,500,0,50,15,134.211305,0.762,47.97
PC,2,256,500,0,50,16,134.179397,0.762,50.26
PC,2,256,500,0,50,17,134.002055,0.762,52.55
PC,2,256,500,0,50,18,133.074208,0.762,54.84
PC,2,256,500,0,50,19,133.27434,0.762,57.14
PC,2,256,500,0,50,20,133.035317,0.747,63.8
PC,2,256,500,0,50,21,132.860858,0.747,66.11
PC,2,256,500,0,50,22,133.096126,0.747,68.4
PC,2,256,500,0,50,23,132.471383,0.747,70.7
PC,2,256,500,0,50,24,132.347471,0.747,72.99
PC,2,256,500,0,50,25,132.462588,0.741,79.66
PC,2,256,500,0,50,26,132.668279,0.741,81.96
PC,2,256,500,0,50,27,132.89747,0.741,84.26
PC,2,256,500,0,50,28,132.153268,0.741,86.56
PC,2,256,500,0,50,29,132.335636,0.741,88.86
PC,2,256,500,0,50,30,132.274324,0.71,95.62
PC,2,256,500,1,10,1,218.87382,,0.69
PC,2,256,500,1,10,2,182.699477,,1.38
PC,2,256,500,1,10,3,172.022923,,2.06
PC,2,256,500,1,10,4,166.155457,,2.75
PC,2,256,500,1,10,5,162.127975,0.762,4.35
PC,2,256,500,1,10,6,159.123603,0.762,5.04
PC,2,256,500,1,10,7,156.787176,0.762,5.72
PC,2,256,500,1,10,8,154.871109,0.762,6.4
PC,2,256,500,1,10,9,153.283989,0.762,7.09
PC,2,256,500,1,10,10,151.957105,0.783,8.69
PC,2,256,500,1,10,11,150.731062,0.783,9.38
PC,2,256,500,1,10,12,149.745625,0.783,10.06
PC,2,256,500,1,10,13,148.826037,0.783,10.75
PC,2,256,500,1,10,14,148.084748,0.783,11.44
PC,2,256,500,1,10,15,147.510281,0.719,13.07
PC,2,256,500,1,10,16,146.95256,0.719,13.76
PC,2,256,500,1,10,17,146.356172,0.719,14.44
PC,2,256,500,1,10,18,145.948098,0.719,15.13
PC,2,256,500,1,10,19,145.508675,0.719,15.81
PC,2,256,500,1,10,20,145.058977,0.713,17.42
PC,2,256,500,1,10,21,144.753752,0.713,18.1
PC,2,256,500,1,10,22,144.410802,0.713,18.78
PC,2,256,500,1,10,23,144.106694,0.713,19.47
PC,2,256,500,1,10,24,143.829155,0.713,20.15
PC,2,256,500,1,10,25,143.622464,0.745,21.77
