algorithm,num_layers,hidden_size,train_size,seed,inference_steps,epoch,train_loss_or_energy,test_acc,wall_time_s,eval_time_s,optimiser_steps,inference_steps_total
PC,2,256,1000,0,50,15,150.57757,0.775,5.135,4.7614,1000,50000
PC,2,256,1000,0,50,16,149.58038,0.771,5.1524,4.976,1000,50000
PC,2,256,1000,0,50,17,148.480617,0.772,5.1536,4.7913,1000,50000
PC,2,256,1000,0,50,18,147.333807,0.766,5.1388,4.7913,1000,50000
PC,2,256,1000,0,50,19,146.674798,0.773,5.1527,4.7951,1000,50000
PC,2,256,1000,0,50,20,146.063322,0.768,5.1694,4.9276,1000,50000
PC,2,256,1000,0,50,21,145.45407,0.772,5.2494,4.7941,1000,50000
PC,2,256,1000,0,50,22,144.883939,0.763,5.6804,4.8796,1000,50000
PC,2,256,1000,0,50,23,144.538123,0.758,5.249,4.8585,1000,50000
PC,2,256,1000,0,50,24,144.295055,0.757,5.1974,4.8199,1000,50000
PC,2,256,1000,0,50,25,144.116181,0.756,5.1673,4.8044,1000,50000
PC,2,256,1000,0,50,26,143.838873,0.763,5.2939,4.9256,1000,50000
PC,2,256,1000,0,50,27,143.62722,0.762,6.5878,4.7673,1000,50000
PC,2,256,1000,0,50,28,143.327315,0.758,5.3206,4.7667,1000,50000
PC,2,256,1000,0,50,29,143.178412,0.757,5.1863,4.9015,1000,50000
PC,2,256,1000,0,50,30,142.96492,0.752,5.0623,4.8321,1000,50000
BP,2,256,5000,0,0,1,0.622786,0.902,0.2073,0.032,79,0
BP,2,256,5000,0,0,2,0.268683,0.912,0.1987,0.0313,79,0
BP,2,256,5000,0,0,3,0.179456,0.927,0.2006,0.0323,79,0
BP,2,256,5000,0,0,4,0.126483,0.924,0.2072,0.0331,79,0
BP,2,256,5000,0,0,5,0.086134,0.938,0.2071,0.0329,79,0
BP,2,256,5000,0,0,6,0.060031,0.931,0.2077,0.0329,79,0
BP,2,256,5000,0,0,7,0.034031,0.943,0.214,0.0329,79,0
BP,2,256,5000,0,0,8,0.020206,0.93,0.2158,0.0344,79,0
BP,2,256,5000,0,0,9,0.020258,0.942,0.2169,0.0346,79,0
BP,2,256,5000,0,0,10,0.009086,0.948,0.2164,0.0341,79,0
BP,2,256,5000,0,0,11,0.010596,0.945,0.2161,0.0346,79,0
BP,2,256,5000,0,0,12,0.003739,0.949,0.2165,0.0343,79,0
BP,2,256,5000,0,0,13,0.002216,0.95,0.216,0.0343,79,0
BP,2,256,5000,0,0,14,0.001712,0.949,0.216,0.0345,79,0
BP,2,256,5000,0,0,15,0.001398,0.949,0.2176,0.0344,79,0
BP,2,256,5000,0,0,16,0.001206,0.95,0.2163,0.0328,79,0
BP,2,256,5000,0,0,17,0.001085,0.95,0.214,0.0331,79,0
BP,2,256,5000,0,0,18,0.000953,0.951,0.2144,0.0329,79,0
BP,2,256,5000,0,0,19,0.000841,0.951,0.2381,0.0415,79,0
BP,2,256,5000,0,0,20,0.000758,0.952,0.3139,0.0492,79,0
BP,2,256,5000,0,0,21,0.000689,0.952,0.3345,0.0518,79,0
BP,2,256,5000,0,0,22,0.000624,0.951,0.3244,0.0482,79,0
BP,2,256,5000,0,0,23,0.000566,0.95,0.3283,0.0533,79,0
BP,2,256,5000,0,0,24,0.000519,0.951,0.3426,0.0411,79,0
BP,2,256,5000,0,0,25,0.000482,0.95,0.2523,0.0375,79,0
BP,2,256,5000,0,0,26,0.000439,0.952,0.2334,0.0374,79,0
BP,2,256,5000,0,0,27,0.000412,0.952,0.2322,0.036,79,0
BP,2,256,5000,0,0,28,0.000375,0.95,0.2241,0.0351,79,0
BP,2,256,5000,0,0,29,0.000345,0.951,0.2202,0.0351,79,0
BP,2,256,5000,0,0,30,0.000322,0.95,0.2174,0.0349,79,0
PC,2,256,5000,0,10,1,201.345304,0.745,7.9726,1.0299,5000,50000
PC,2,256,5000,0,10,2,166.679451,0.778,7.9309,1.0166,5000,50000
PC,2,256,5000,0,10,3,157.444009,0.774,7.8654,1.0196,5000,50000
PC,2,256,5000,0,10,4,152.864732,0.747,7.8245,1.056,5000,50000
PC,2,256,5000,0,10,5,150.236814,0.733,8.6175,1.1701,5000,50000
PC,2,256,5000,0,10,6,148.455013,0.728,9.9568,1.6314,5000,50000
PC,2,256,5000,0,10,7,147.256475,0.723,7.2858,1.0112,5000,50000
PC,2,256,5000,0,10,8,146.416369,0.728,7.8405,0.9909,5000,50000
PC,2,256,5000,0,10,9,145.681834,0.737,7.4668,0.9846,5000,50000
PC,2,256,5000,0,10,10,145.075742,0.747,7.5403,1.0023,5000,50000
PC,2,256,5000,0,10,11,144.665791,0.757,7.3542,0.9825,5000,50000
PC,2,256,5000,0,10,12,144.360667,0.763,7.422,0.972,5000,50000
PC,2,256,5000,0,10,13,144.126259,0.75,7.2274,0.9648,5000,50000
PC,2,256,5000,0,10,14,143.912981,0.755,8.2789,1.2015,5000,50000
PC,2,256,5000,0,10,15,143.743628,0.753,8.3503,0.9855,5000,50000
PC,2,256,5000,0,10,16,143.639284,0.758,7.211,0.9726,5000,50000
PC,2,256,5000,0,10,17,143.631046,0.747,7.2105,0.9602,5000,50000
PC,2,256,5000,0,10,18,143.583732,0.754,7.1852,0.9637,5000,50000
PC,2,256,5000,0,10,19,143.604733,0.749,7.1766,0.9787,5000,50000
PC,2,256,5000,0,10,20,143.542917,0.741,7.1709,0.9646,5000,50000
PC,2,256,5000,0,10,21,143.461896,0.735,8.7769,1.0109,5000,50000
PC,2,256,5000,0,10,22,143.425476,0.743,7.3931,0.9933,5000,50000
PC,2,256,5000,0,10,23,143.433328,0.723,7.3003,0.969,5000,50000
PC,2,256,5000,0,10,24,143.403737,0.702,7.4335,0.9653,5000,50000
PC,2,256,5000,0,10,25,143.421053,0.695,7.2541,0.9824,5000,50000
PC,2,256,5000,0,10,26,143.377319,0.7,7.5033,0.9664,5000,50000
PC,2,256,5000,0,10,27,143.314728,0.704,7.2267,2.2559,5000,50000
PC,2,256,5000,0,10,28,143.338023,0.693,10.7337,0.9695,5000,50000
PC,2,256,5000,0,10,29,143.438393,0.697,8.2334,1.0147,5000,50000
PC,2,256,5000,0,10,30,143.423329,0.699,7.2638,0.9833,5000,50000
PC,2,256,5000,0,20,1,194.170815,0.806,11.4723,1.8761,5000,100000
PC,2,256,5000,0,20,2,160.883728,0.785,11.3918,1.8683,5000,100000
PC,2,256,5000,0,20,3,158.594395,0.768,12.9304,2.1992,5000,100000
PC,2,256,5000,0,20,4,149.173348,0.771,11.7194,1.8941,5000,100000
PC,2,256,5000,0,20,5,145.221787,0.778,11.4859,1.8691,5000,100000
PC,2,256,5000,0,20,6,144.438163,0.765,11.433,1.9035,5000,100000
PC,2,256,5000,0,20,7,143.783206,0.763,11.434,1.8781,5000,100000
